station_id,name,lat,lon
7000,Fort York  Blvd / Capreol Crt,43.639832,-79.395954
7001,Lower Jarvis St / The Esplanade,43.647992,-79.370907
7002,St. George St / Bloor St W,43.667333,-79.399429
7003,Madison Ave / Bloor St W,43.667158,-79.402761
7004,University Ave / Elm St,43.656518,-79.389099
7005,University Ave / King St W,43.648093,-79.384749
7006,Bay St / College St (East Side),43.660439,-79.385525
7007,College St / Huron St,43.658148,-79.398167
7008,Wellesley St / Queen's Park Cres,43.663376,-79.392125
7009,King St E / Jarvis St,43.650325,-79.372287
7010,King St W / Spadina Ave,43.645323,-79.395003
7011,Wellington St W / Portland St,43.642982,-79.399256
7012,Elizabeth St / Edward St (Bus Terminal),43.656026,-79.385327
7013,Scott St / The Esplanade,43.64656,-79.375274
7014,Sherbourne St / Carlton St (Allan Gardens),43.663102,-79.373181
7015,King St W / Bay St (West Side),43.64852,-79.380576
7016,Bay St / Queens Quay W (Ferry Terminal),43.640823,-79.376265
7017,Widmer St / Adelaide St W,43.647145,-79.391479
7018,Bremner Blvd / Rees St,43.641529,-79.386741
7019,Michael Sweet Ave / St. Patrick St,43.652295,-79.388382
7020,Phoebe St / Spadina Ave,43.650033,-79.396555
7021,Bay St / Albert St,43.653264,-79.382458
7022,Simcoe St / Queen St W,43.650858,-79.387582
7023,College St / Borden St,43.6571,-79.4056
7024,Dundonald St / Church St,43.66663,-79.38148
7025,Ted Rogers Way / Bloor St E,43.671293,-79.380471
7026,Bay St / St. Joseph St,43.665527,-79.387499
7027,Beverly  St / Dundas St W,43.652823,-79.393388
7028,Gould St / Mutual St,43.6582,-79.3768
7029,Bay St / Bloor St W,43.669494,-79.389661
7030,Bay St / Wellesley St W,43.664088,-79.387095
7031,Jarvis St / Isabella St,43.668991,-79.379385
7032,Augusta Ave / Dundas St W,43.652473,-79.401456
7033,Union Station,43.645609,-79.380386
7034,Church St / Bloor St E,43.671389,-79.382919
7035,Queen St W / Ossington Ave,43.643975,-79.419576
7036,Trinity St /Front St E,43.651318,-79.36023
7037,Bathurst St / Dundas St W,43.6523,-79.4058
7038,Dundas St W / Yonge St,43.656094,-79.381484
7039,Simcoe St / Dundas St W,43.653743,-79.38882
7040,Euclid Ave / Bloor St W,43.664467,-79.414783
7041,Edward St / Yonge St,43.656729,-79.382736
7042,Sherbourne St / Wellesley St E,43.6673,-79.374
7043,Queens Quay W / Lower Simcoe St,43.63951,-79.383717
7044,Church St / Alexander St,43.663722,-79.380288
7045,Bond St / Queen St E,43.653236,-79.376716
7046,Niagara St / Richmond St W,43.64534,-79.409597
7047,University Ave / Gerrard St W,43.657763,-79.389165
7048,Front St W / Yonge St (Hockey Hall of Fame),43.646144,-79.377962
7049,Queen St W / Portland St,43.6476,-79.4015
7050,Richmond St E / Jarvis St Green P,43.652634,-79.374222
7051,Wellesley St E / Yonge St (Green P),43.66506,-79.38357
7052,Wellington St W / Bay St,43.647259,-79.379878
7053,Metro Hall Plaza,43.645859,-79.38783
7054,Navy Wharf Ct. / Bremner Blvd.,43.640722,-79.391051
7055,Jarvis St / Carlton St,43.66207,-79.37617
7056,Parliament St / Gerrard St,43.661149,-79.366648
7057,Simcoe St / Wellington St W,43.645533,-79.3854
7058,Huron/ Harbord St,43.6637,-79.400053
7059,Front St W / Blue Jays Way,43.643473,-79.390477
7060,Princess St / Adelaide St E,43.652123,-79.367139
7061,Bloor St / Brunswick Ave,43.665802,-79.40731
7062,University Ave / College St,43.659226,-79.390213
7063,Queens Park / Bloor St W,43.668456,-79.393899
7064,51 Parliament St,43.65205,-79.362198
7065,Dundas St E / Parliament St,43.659575,-79.365769
7066,Willcocks St / St. George St,43.662085,-79.397735
7067,Yonge St / Harbour St,43.643795,-79.375413
7068,Dockside Dr / Queens Quay E (Sugar Beach),43.644272,-79.367766
7069,Queen St W / Spadina Ave,43.649147,-79.395504
7070,25 York St (ACC/Union Station South),43.643667,-79.380414
7071,161 Bleecker St (South of Wellesley),43.666233,-79.373327
7072,Queen St W / Shaw St,43.644524,-79.416519
7073,Bremner Blvd / Spadina Ave,43.640903,-79.392895
7074,Spadina Ave / Sussex Ave,43.664137,-79.402496
7075,Queens Quay W / Dan Leckie Way,43.636533,-79.395854
7076,York St / Queens Quay W,43.640132,-79.380464
7077,College Park South,43.659777,-79.382767
7078,College St / Major St,43.6576,-79.4032
7079,McGill St / Church St,43.660694,-79.379052
7083,Danforth Ave / Barrington Ave,43.688325,-79.300463
7084,Stephenson Ave / Main St,43.68704,-79.301915
7085,Danforth Ave / Westlake Ave,43.687323,-79.304848
7086,Woodbine Subway Green P (Cedarvale Ave),43.686829,-79.311073
7087,Danforth Ave / Aldridge Ave,43.684758,-79.316767
7088,Danforth Ave / Coxwell Ave,43.683378,-79.322961
7089,Church St  / Wood St,43.662712,-79.379903
7090,Danforth Ave / Lamb Ave,43.681991,-79.329455
7091,Donlands Station,43.681126,-79.337779
7092,Pape Subway Green P,43.680223,-79.344062
7093,Danforth Ave / Gough Ave,43.678401,-79.346289
7094,Chester Station,43.678056,-79.352222
7095,Danforth Ave / Ellerbeck St,43.677076,-79.35667
7096,Boston Ave / Queen St E,43.661508,-79.338931
7097,Riverdale Park North (Broadview Ave),43.671172,-79.354704
7098,Riverdale Park South (Broadview Ave),43.667819,-79.35347
7099,Cherry St / Mill St,43.651248,-79.357848
7100,Dundas St E / Regent Park Blvd,43.660207,-79.361275
7101,Lower Sherbourne St / The Esplanade,43.647756,-79.366415
7102,Nelson St / Duncan St,43.648711,-79.389728
7103,Jimmie Simpson Park (Queen St E),43.660362,-79.343801
7104,King St E / River St,43.657071,-79.356598
7105,Queen St E / Sackville St,43.6561111,-79.36138889
7106,Mill St / Tannery Rd,43.652219,-79.354455
7107,Cherry St / Distillery Ln,43.650279,-79.356832
